"","ID","Item","Rating","Order","Parenthesis","Modal_Label"
"35","2_L1","X4_lowhigh_yes_1",97,"Low-High","Yes","must_probably"
"36","3_L1","X4_lowhigh_yes_1",50,"Low-High","Yes","must_probably"
"37","4_L1","X4_lowhigh_yes_1",70,"Low-High","Yes","must_probably"
"38","5_L1","X4_lowhigh_yes_1",83,"Low-High","Yes","must_probably"
"39","6_L1","X4_lowhigh_yes_1",64,"Low-High","Yes","must_probably"
"40","7_L1","X4_lowhigh_yes_1",69,"Low-High","Yes","must_probably"
"41","8_L1","X4_lowhigh_yes_1",58,"Low-High","Yes","must_probably"
"42","9_L1","X4_lowhigh_yes_1",74,"Low-High","Yes","must_probably"
"43","10_L1","X4_lowhigh_yes_1",75,"Low-High","Yes","must_probably"
"44","11_L1","X4_lowhigh_yes_1",70,"Low-High","Yes","must_probably"
"45","1_L1","X5_highlow_yes_1",86,"High-Low","Yes","would_possibly"
"46","2_L1","X5_highlow_yes_1",72,"High-Low","Yes","would_possibly"
"47","3_L1","X5_highlow_yes_1",40,"High-Low","Yes","would_possibly"
"48","4_L1","X5_highlow_yes_1",41,"High-Low","Yes","would_possibly"
"49","5_L1","X5_highlow_yes_1",47,"High-Low","Yes","would_possibly"
"50","6_L1","X5_highlow_yes_1",81,"High-Low","Yes","would_possibly"
"51","7_L1","X5_highlow_yes_1",86,"High-Low","Yes","would_possibly"
"52","8_L1","X5_highlow_yes_1",50,"High-Low","Yes","would_possibly"
"53","9_L1","X5_highlow_yes_1",60,"High-Low","Yes","would_possibly"
"54","10_L1","X5_highlow_yes_1",80,"High-Low","Yes","would_possibly"
"55","11_L1","X5_highlow_yes_1",65,"High-Low","Yes","would_possibly"
"56","1_L1","X6_lowonly_no_1",44,"Low","No","would_possibly"
"57","2_L1","X6_lowonly_no_1",73,"Low","No","would_possibly"
"58","3_L1","X6_lowonly_no_1",50,"Low","No","would_possibly"
"59","4_L1","X6_lowonly_no_1",70,"Low","No","would_possibly"
"60","5_L1","X6_lowonly_no_1",70,"Low","No","would_possibly"
"61","6_L1","X6_lowonly_no_1",86,"Low","No","would_possibly"
"62","7_L1","X6_lowonly_no_1",52,"Low","No","would_possibly"
"63","8_L1","X6_lowonly_no_1",50,"Low","No","would_possibly"
"64","9_L1","X6_lowonly_no_1",52,"Low","No","would_possibly"
"65","10_L1","X6_lowonly_no_1",75,"Low","No","would_possibly"
"66","11_L1","X6_lowonly_no_1",55,"Low","No","would_possibly"
"67","1_L1","X7_highonly_no_1",96,"High","No","would_possibly"
"68","2_L1","X7_highonly_no_1",90,"High","No","would_possibly"
"69","3_L1","X7_highonly_no_1",81,"High","No","would_possibly"
"70","4_L1","X7_highonly_no_1",71,"High","No","would_possibly"
"71","5_L1","X7_highonly_no_1",45,"High","No","would_possibly"
"72","6_L1","X7_highonly_no_1",94,"High","No","would_possibly"
"73","7_L1","X7_highonly_no_1",67,"High","No","would_possibly"
"74","8_L1","X7_highonly_no_1",92,"High","No","would_possibly"
"75","9_L1","X7_highonly_no_1",85,"High","No","would_possibly"
"76","10_L1","X7_highonly_no_1",89,"High","No","would_possibly"
"77","11_L1","X7_highonly_no_1",50,"High","No","would_possibly"
"78","1_L1","X8_lowhigh_no_1",34,"Low-High","No","would_possibly"
"79","2_L1","X8_lowhigh_no_1",79,"Low-High","No","would_possibly"
"80","3_L1","X8_lowhigh_no_1",50,"Low-High","No","would_possibly"
"81","4_L1","X8_lowhigh_no_1",44,"Low-High","No","would_possibly"
"82","5_L1","X8_lowhigh_no_1",60,"Low-High","No","would_possibly"
"83","6_L1","X8_lowhigh_no_1",82,"Low-High","No","would_possibly"
"84","7_L1","X8_lowhigh_no_1",46,"Low-High","No","would_possibly"
"85","8_L1","X8_lowhigh_no_1",51,"Low-High","No","would_possibly"
"86","9_L1","X8_lowhigh_no_1",62,"Low-High","No","would_possibly"
"87","10_L1","X8_lowhigh_no_1",80,"Low-High","No","would_possibly"
"88","11_L1","X8_lowhigh_no_1",60,"Low-High","No","would_possibly"
"89","1_L1","X9_highlow_no_1",51,"High-Low","No","might_probably"
"90","2_L1","X9_highlow_no_1",93,"High-Low","No","might_probably"
"91","3_L1","X9_highlow_no_1",50,"High-Low","No","might_probably"
"92","4_L1","X9_highlow_no_1",70,"High-Low","No","might_probably"
"93","5_L1","X9_highlow_no_1",50,"High-Low","No","might_probably"
"94","6_L1","X9_highlow_no_1",80,"High-Low","No","might_probably"
"95","7_L1","X9_highlow_no_1",92,"High-Low","No","might_probably"
"96","8_L1","X9_highlow_no_1",51,"High-Low","No","might_probably"
"97","9_L1","X9_highlow_no_1",52,"High-Low","No","might_probably"
"98","10_L1","X9_highlow_no_1",79,"High-Low","No","might_probably"
"99","11_L1","X9_highlow_no_1",85,"High-Low","No","might_probably"
"100","1_L1","X10_lowonly_yes_1",60,"Low","Yes","might_probably"
"101","2_L1","X10_lowonly_yes_1",87,"Low","Yes","might_probably"
"102","3_L1","X10_lowonly_yes_1",50,"Low","Yes","might_probably"
"103","4_L1","X10_lowonly_yes_1",53,"Low","Yes","might_probably"
"104","5_L1","X10_lowonly_yes_1",60,"Low","Yes","might_probably"
"105","6_L1","X10_lowonly_yes_1",83,"Low","Yes","might_probably"
"106","7_L1","X10_lowonly_yes_1",20,"Low","Yes","might_probably"
"107","8_L1","X10_lowonly_yes_1",51,"Low","Yes","might_probably"
"108","9_L1","X10_lowonly_yes_1",55,"Low","Yes","might_probably"
"109","10_L1","X10_lowonly_yes_1",80,"Low","Yes","might_probably"
"110","11_L1","X10_lowonly_yes_1",36,"Low","Yes","might_probably"
"111","1_L1","X11_highonly_yes_1",75,"High","Yes","might_probably"
"112","2_L1","X11_highonly_yes_1",81,"High","Yes","might_probably"
"113","3_L1","X11_highonly_yes_1",50,"High","Yes","might_probably"
"114","4_L1","X11_highonly_yes_1",70,"High","Yes","might_probably"
"115","5_L1","X11_highonly_yes_1",80,"High","Yes","might_probably"
"116","6_L1","X11_highonly_yes_1",84,"High","Yes","might_probably"
"117","7_L1","X11_highonly_yes_1",86,"High","Yes","might_probably"
"118","8_L1","X11_highonly_yes_1",75,"High","Yes","might_probably"
"119","9_L1","X11_highonly_yes_1",72,"High","Yes","might_probably"
"120","10_L1","X11_highonly_yes_1",70,"High","Yes","might_probably"
"121","11_L1","X11_highonly_yes_1",80,"High","Yes","might_probably"
"122","1_L1","X12_lowhigh_yes_1",77,"Low-High","Yes","might_probably"
"123","2_L1","X12_lowhigh_yes_1",86,"Low-High","Yes","might_probably"
"124","3_L1","X12_lowhigh_yes_1",50,"Low-High","Yes","might_probably"
"125","4_L1","X12_lowhigh_yes_1",50,"Low-High","Yes","might_probably"
"126","5_L1","X12_lowhigh_yes_1",40,"Low-High","Yes","might_probably"
"127","6_L1","X12_lowhigh_yes_1",75,"Low-High","Yes","might_probably"
"128","7_L1","X12_lowhigh_yes_1",73,"Low-High","Yes","might_probably"
"129","8_L1","X12_lowhigh_yes_1",53,"Low-High","Yes","might_probably"
"130","9_L1","X12_lowhigh_yes_1",56,"Low-High","Yes","might_probably"
"131","10_L1","X12_lowhigh_yes_1",79,"Low-High","Yes","might_probably"
"132","11_L1","X12_lowhigh_yes_1",60,"Low-High","Yes","might_probably"
"133","1_L1","X13_highlow_yes_1",85,"High-Low","Yes","may_certainly"
"134","2_L1","X13_highlow_yes_1",98,"High-Low","Yes","may_certainly"
"135","3_L1","X13_highlow_yes_1",58,"High-Low","Yes","may_certainly"
"136","4_L1","X13_highlow_yes_1",70,"High-Low","Yes","may_certainly"
"137","5_L1","X13_highlow_yes_1",50,"High-Low","Yes","may_certainly"
"138","6_L1","X13_highlow_yes_1",85,"High-Low","Yes","may_certainly"
"139","7_L1","X13_highlow_yes_1",71,"High-Low","Yes","may_certainly"
"140","8_L1","X13_highlow_yes_1",71,"High-Low","Yes","may_certainly"
"141","9_L1","X13_highlow_yes_1",76,"High-Low","Yes","may_certainly"
"142","10_L1","X13_highlow_yes_1",70,"High-Low","Yes","may_certainly"
"143","11_L1","X13_highlow_yes_1",60,"High-Low","Yes","may_certainly"
"144","1_L1","X14_lowonly_no_1",53,"Low","No","may_certainly"
"145","2_L1","X14_lowonly_no_1",81,"Low","No","may_certainly"
"146","3_L1","X14_lowonly_no_1",50,"Low","No","may_certainly"
"147","4_L1","X14_lowonly_no_1",100,"Low","No","may_certainly"
"148","5_L1","X14_lowonly_no_1",60,"Low","No","may_certainly"
"149","6_L1","X14_lowonly_no_1",82,"Low","No","may_certainly"
"150","7_L1","X14_lowonly_no_1",88,"Low","No","may_certainly"
"151","8_L1","X14_lowonly_no_1",57,"Low","No","may_certainly"
"152","9_L1","X14_lowonly_no_1",76,"Low","No","may_certainly"
"153","10_L1","X14_lowonly_no_1",73,"Low","No","may_certainly"
"154","11_L1","X14_lowonly_no_1",50,"Low","No","may_certainly"
"155","1_L1","X15_highonly_no_1",100,"High","No","may_certainly"
"156","2_L1","X15_highonly_no_1",100,"High","No","may_certainly"
"157","3_L1","X15_highonly_no_1",88,"High","No","may_certainly"
"158","4_L1","X15_highonly_no_1",87,"High","No","may_certainly"
"159","5_L1","X15_highonly_no_1",50,"High","No","may_certainly"
"160","6_L1","X15_highonly_no_1",90,"High","No","may_certainly"
"161","7_L1","X15_highonly_no_1",88,"High","No","may_certainly"
"162","8_L1","X15_highonly_no_1",100,"High","No","may_certainly"
"163","9_L1","X15_highonly_no_1",87,"High","No","may_certainly"
"164","10_L1","X15_highonly_no_1",88,"High","No","may_certainly"
"165","11_L1","X15_highonly_no_1",98,"High","No","may_certainly"
"166","1_L1","X16_lowhigh_no_1",92,"Low-High","No","may_certainly"
"167","2_L1","X16_lowhigh_no_1",87,"Low-High","No","may_certainly"
"168","3_L1","X16_lowhigh_no_1",50,"Low-High","No","may_certainly"
"169","4_L1","X16_lowhigh_no_1",96,"Low-High","No","may_certainly"
"170","5_L1","X16_lowhigh_no_1",43,"Low-High","No","may_certainly"
"171","6_L1","X16_lowhigh_no_1",86,"Low-High","No","may_certainly"
"172","7_L1","X16_lowhigh_no_1",57,"Low-High","No","may_certainly"
"173","8_L1","X16_lowhigh_no_1",70,"Low-High","No","may_certainly"
"174","9_L1","X16_lowhigh_no_1",57,"Low-High","No","may_certainly"
"175","10_L1","X16_lowhigh_no_1",75,"Low-High","No","may_certainly"
"176","11_L1","X16_lowhigh_no_1",75,"Low-High","No","may_certainly"
"177","1_L1","X17_highlow_no_1",95,"High-Low","No","may_definitely"
"178","2_L1","X17_highlow_no_1",91,"High-Low","No","may_definitely"
"179","3_L1","X17_highlow_no_1",60,"High-Low","No","may_definitely"
"180","4_L1","X17_highlow_no_1",65,"High-Low","No","may_definitely"
"181","5_L1","X17_highlow_no_1",50,"High-Low","No","may_definitely"
"182","6_L1","X17_highlow_no_1",83,"High-Low","No","may_definitely"
"183","7_L1","X17_highlow_no_1",30,"High-Low","No","may_definitely"
"184","8_L1","X17_highlow_no_1",82,"High-Low","No","may_definitely"
"185","9_L1","X17_highlow_no_1",65,"High-Low","No","may_definitely"
"186","10_L1","X17_highlow_no_1",80,"High-Low","No","may_definitely"
"187","11_L1","X17_highlow_no_1",80,"High-Low","No","may_definitely"
"188","1_L1","X18_lowonly_yes_1",71,"Low","Yes","may_definitely"
"189","2_L1","X18_lowonly_yes_1",75,"Low","Yes","may_definitely"
"190","3_L1","X18_lowonly_yes_1",87,"Low","Yes","may_definitely"
"191","4_L1","X18_lowonly_yes_1",60,"Low","Yes","may_definitely"
"192","5_L1","X18_lowonly_yes_1",56,"Low","Yes","may_definitely"
"193","6_L1","X18_lowonly_yes_1",89,"Low","Yes","may_definitely"
"194","7_L1","X18_lowonly_yes_1",82,"Low","Yes","may_definitely"
"195","8_L1","X18_lowonly_yes_1",51,"Low","Yes","may_definitely"
"196","9_L1","X18_lowonly_yes_1",59,"Low","Yes","may_definitely"
"197","10_L1","X18_lowonly_yes_1",78,"Low","Yes","may_definitely"
"198","11_L1","X18_lowonly_yes_1",50,"Low","Yes","may_definitely"
"199","1_L1","X19_highonly_yes_1",91,"High","Yes","may_definitely"
"200","2_L1","X19_highonly_yes_1",93,"High","Yes","may_definitely"
"201","3_L1","X19_highonly_yes_1",74,"High","Yes","may_definitely"
"202","4_L1","X19_highonly_yes_1",75,"High","Yes","may_definitely"
"203","5_L1","X19_highonly_yes_1",54,"High","Yes","may_definitely"
"204","6_L1","X19_highonly_yes_1",92,"High","Yes","may_definitely"
"205","7_L1","X19_highonly_yes_1",52,"High","Yes","may_definitely"
"206","8_L1","X19_highonly_yes_1",72,"High","Yes","may_definitely"
"207","9_L1","X19_highonly_yes_1",82,"High","Yes","may_definitely"
"208","10_L1","X19_highonly_yes_1",88,"High","Yes","may_definitely"
"209","11_L1","X19_highonly_yes_1",95,"High","Yes","may_definitely"
"210","1_L1","X20_lowhigh_yes_1",90,"Low-High","Yes","may_definitely"
"211","2_L1","X20_lowhigh_yes_1",88,"Low-High","Yes","may_definitely"
"212","3_L1","X20_lowhigh_yes_1",49,"Low-High","Yes","may_definitely"
"213","4_L1","X20_lowhigh_yes_1",70,"Low-High","Yes","may_definitely"
"214","5_L1","X20_lowhigh_yes_1",52,"Low-High","Yes","may_definitely"
"215","6_L1","X20_lowhigh_yes_1",90,"Low-High","Yes","may_definitely"
"216","7_L1","X20_lowhigh_yes_1",81,"Low-High","Yes","may_definitely"
"217","8_L1","X20_lowhigh_yes_1",91,"Low-High","Yes","may_definitely"
"218","9_L1","X20_lowhigh_yes_1",67,"Low-High","Yes","may_definitely"
"219","10_L1","X20_lowhigh_yes_1",85,"Low-High","Yes","may_definitely"
"220","11_L1","X20_lowhigh_yes_1",81,"Low-High","Yes","may_definitely"
"221","1_L1","X21_highlow_yes_1",87,"High-Low","Yes","might_definitely"
"222","2_L1","X21_highlow_yes_1",77,"High-Low","Yes","might_definitely"
"223","3_L1","X21_highlow_yes_1",60,"High-Low","Yes","might_definitely"
"224","4_L1","X21_highlow_yes_1",80,"High-Low","Yes","might_definitely"
"225","5_L1","X21_highlow_yes_1",90,"High-Low","Yes","might_definitely"
"226","6_L1","X21_highlow_yes_1",93,"High-Low","Yes","might_definitely"
"227","7_L1","X21_highlow_yes_1",22,"High-Low","Yes","might_definitely"
"228","8_L1","X21_highlow_yes_1",81,"High-Low","Yes","might_definitely"
"229","9_L1","X21_highlow_yes_1",72,"High-Low","Yes","might_definitely"
"230","10_L1","X21_highlow_yes_1",87,"High-Low","Yes","might_definitely"
"231","11_L1","X21_highlow_yes_1",85,"High-Low","Yes","might_definitely"
"232","1_L1","X22_lowonly_no_1",52,"Low","No","might_definitely"
"233","2_L1","X22_lowonly_no_1",78,"Low","No","might_definitely"
"234","3_L1","X22_lowonly_no_1",70,"Low","No","might_definitely"
"235","4_L1","X22_lowonly_no_1",80,"Low","No","might_definitely"
"236","5_L1","X22_lowonly_no_1",90,"Low","No","might_definitely"
"237","6_L1","X22_lowonly_no_1",85,"Low","No","might_definitely"
"238","7_L1","X22_lowonly_no_1",21,"Low","No","might_definitely"
"239","8_L1","X22_lowonly_no_1",51,"Low","No","might_definitely"
"240","9_L1","X22_lowonly_no_1",58,"Low","No","might_definitely"
"241","10_L1","X22_lowonly_no_1",70,"Low","No","might_definitely"
"242","11_L1","X22_lowonly_no_1",50,"Low","No","might_definitely"
"243","1_L1","X23_highonly_no_1",100,"High","No","might_definitely"
"244","2_L1","X23_highonly_no_1",93,"High","No","might_definitely"
"245","3_L1","X23_highonly_no_1",88,"High","No","might_definitely"
"246","4_L1","X23_highonly_no_1",90,"High","No","might_definitely"
"247","5_L1","X23_highonly_no_1",60,"High","No","might_definitely"
"248","6_L1","X23_highonly_no_1",88,"High","No","might_definitely"
"249","7_L1","X23_highonly_no_1",93,"High","No","might_definitely"
"250","8_L1","X23_highonly_no_1",98,"High","No","might_definitely"
"251","9_L1","X23_highonly_no_1",95,"High","No","might_definitely"
"252","10_L1","X23_highonly_no_1",98,"High","No","might_definitely"
"253","11_L1","X23_highonly_no_1",95,"High","No","might_definitely"
"254","1_L1","X24_lowhigh_no_1",93,"Low-High","No","might_definitely"
"255","2_L1","X24_lowhigh_no_1",97,"Low-High","No","might_definitely"
"256","3_L1","X24_lowhigh_no_1",80,"Low-High","No","might_definitely"
"257","4_L1","X24_lowhigh_no_1",90,"Low-High","No","might_definitely"
"258","5_L1","X24_lowhigh_no_1",80,"Low-High","No","might_definitely"
"259","6_L1","X24_lowhigh_no_1",85,"Low-High","No","might_definitely"
"260","7_L1","X24_lowhigh_no_1",49,"Low-High","No","might_definitely"
"261","8_L1","X24_lowhigh_no_1",61,"Low-High","No","might_definitely"
"262","9_L1","X24_lowhigh_no_1",77,"Low-High","No","might_definitely"
"263","10_L1","X24_lowhigh_no_1",84,"Low-High","No","might_definitely"
"264","11_L1","X24_lowhigh_no_1",85,"Low-High","No","might_definitely"
"265","1_L1","X25_highlow_no_1",92,"High-Low","No","might_certainly"
"266","2_L1","X25_highlow_no_1",95,"High-Low","No","might_certainly"
"267","3_L1","X25_highlow_no_1",71,"High-Low","No","might_certainly"
"268","4_L1","X25_highlow_no_1",99,"High-Low","No","might_certainly"
"269","5_L1","X25_highlow_no_1",70,"High-Low","No","might_certainly"
"270","6_L1","X25_highlow_no_1",76,"High-Low","No","might_certainly"
"271","7_L1","X25_highlow_no_1",31,"High-Low","No","might_certainly"
"272","8_L1","X25_highlow_no_1",73,"High-Low","No","might_certainly"
"273","9_L1","X25_highlow_no_1",71,"High-Low","No","might_certainly"
"274","10_L1","X25_highlow_no_1",80,"High-Low","No","might_certainly"
"275","11_L1","X25_highlow_no_1",75,"High-Low","No","might_certainly"
"276","1_L1","X26_lowonly_yes_1",77,"Low","Yes","might_certainly"
"277","2_L1","X26_lowonly_yes_1",62,"Low","Yes","might_certainly"
"278","3_L1","X26_lowonly_yes_1",89,"Low","Yes","might_certainly"
"279","4_L1","X26_lowonly_yes_1",95,"Low","Yes","might_certainly"
"280","5_L1","X26_lowonly_yes_1",66,"Low","Yes","might_certainly"
"281","6_L1","X26_lowonly_yes_1",88,"Low","Yes","might_certainly"
"282","7_L1","X26_lowonly_yes_1",72,"Low","Yes","might_certainly"
"283","8_L1","X26_lowonly_yes_1",84,"Low","Yes","might_certainly"
"284","9_L1","X26_lowonly_yes_1",70,"Low","Yes","might_certainly"
"285","10_L1","X26_lowonly_yes_1",82,"Low","Yes","might_certainly"
"286","11_L1","X26_lowonly_yes_1",60,"Low","Yes","might_certainly"
"287","1_L1","X27_highonly_yes_1",81,"High","Yes","might_certainly"
"288","2_L1","X27_highonly_yes_1",81,"High","Yes","might_certainly"
"289","3_L1","X27_highonly_yes_1",93,"High","Yes","might_certainly"
"290","4_L1","X27_highonly_yes_1",55,"High","Yes","might_certainly"
"291","5_L1","X27_highonly_yes_1",80,"High","Yes","might_certainly"
"292","6_L1","X27_highonly_yes_1",83,"High","Yes","might_certainly"
"293","7_L1","X27_highonly_yes_1",92,"High","Yes","might_certainly"
"294","8_L1","X27_highonly_yes_1",90,"High","Yes","might_certainly"
"295","9_L1","X27_highonly_yes_1",91,"High","Yes","might_certainly"
"296","10_L1","X27_highonly_yes_1",83,"High","Yes","might_certainly"
"297","11_L1","X27_highonly_yes_1",95,"High","Yes","might_certainly"
"298","1_L1","X28_lowhigh_yes_1",96,"Low-High","Yes","might_certainly"
"299","2_L1","X28_lowhigh_yes_1",93,"Low-High","Yes","might_certainly"
"300","3_L1","X28_lowhigh_yes_1",50,"Low-High","Yes","might_certainly"
"301","4_L1","X28_lowhigh_yes_1",75,"Low-High","Yes","might_certainly"
"302","5_L1","X28_lowhigh_yes_1",75,"Low-High","Yes","might_certainly"
"303","6_L1","X28_lowhigh_yes_1",80,"Low-High","Yes","might_certainly"
"304","7_L1","X28_lowhigh_yes_1",50,"Low-High","Yes","might_certainly"
"305","8_L1","X28_lowhigh_yes_1",89,"Low-High","Yes","might_certainly"
"306","9_L1","X28_lowhigh_yes_1",56,"Low-High","Yes","might_certainly"
"307","10_L1","X28_lowhigh_yes_1",89,"Low-High","Yes","might_certainly"
"308","11_L1","X28_lowhigh_yes_1",50,"Low-High","Yes","might_certainly"
"309","1_L1","X29_highlow_yes_1",81,"High-Low","Yes","must_possibly"
"310","2_L1","X29_highlow_yes_1",81,"High-Low","Yes","must_possibly"
"311","3_L1","X29_highlow_yes_1",90,"High-Low","Yes","must_possibly"
"312","4_L1","X29_highlow_yes_1",80,"High-Low","Yes","must_possibly"
"313","5_L1","X29_highlow_yes_1",60,"High-Low","Yes","must_possibly"
"314","6_L1","X29_highlow_yes_1",85,"High-Low","Yes","must_possibly"
"315","7_L1","X29_highlow_yes_1",91,"High-Low","Yes","must_possibly"
"316","8_L1","X29_highlow_yes_1",81,"High-Low","Yes","must_possibly"
"317","9_L1","X29_highlow_yes_1",56,"High-Low","Yes","must_possibly"
"318","10_L1","X29_highlow_yes_1",95,"High-Low","Yes","must_possibly"
"319","11_L1","X29_highlow_yes_1",50,"High-Low","Yes","must_possibly"
"320","1_L1","X30_lowonly_no_1",76,"Low","No","must_possibly"
"321","2_L1","X30_lowonly_no_1",89,"Low","No","must_possibly"
"322","3_L1","X30_lowonly_no_1",50,"Low","No","must_possibly"
"323","4_L1","X30_lowonly_no_1",90,"Low","No","must_possibly"
"324","5_L1","X30_lowonly_no_1",70,"Low","No","must_possibly"
"325","6_L1","X30_lowonly_no_1",81,"Low","No","must_possibly"
"326","7_L1","X30_lowonly_no_1",42,"Low","No","must_possibly"
"327","8_L1","X30_lowonly_no_1",52,"Low","No","must_possibly"
"328","9_L1","X30_lowonly_no_1",59,"Low","No","must_possibly"
"329","10_L1","X30_lowonly_no_1",95,"Low","No","must_possibly"
"330","11_L1","X30_lowonly_no_1",60,"Low","No","must_possibly"
"331","1_L1","X31_highonly_no_1",95,"High","No","must_possibly"
"332","2_L1","X31_highonly_no_1",99,"High","No","must_possibly"
"333","3_L1","X31_highonly_no_1",95,"High","No","must_possibly"
"334","4_L1","X31_highonly_no_1",100,"High","No","must_possibly"
"335","5_L1","X31_highonly_no_1",50,"High","No","must_possibly"
"336","6_L1","X31_highonly_no_1",83,"High","No","must_possibly"
"337","7_L1","X31_highonly_no_1",88,"High","No","must_possibly"
"338","8_L1","X31_highonly_no_1",92,"High","No","must_possibly"
"339","9_L1","X31_highonly_no_1",91,"High","No","must_possibly"
"340","10_L1","X31_highonly_no_1",80,"High","No","must_possibly"
"341","11_L1","X31_highonly_no_1",78,"High","No","must_possibly"
"342","1_L1","X32_lowhigh_no_1",86,"Low-High","No","must_possibly"
"343","2_L1","X32_lowhigh_no_1",87,"Low-High","No","must_possibly"
"344","3_L1","X32_lowhigh_no_1",80,"Low-High","No","must_possibly"
"345","4_L1","X32_lowhigh_no_1",83,"Low-High","No","must_possibly"
"346","5_L1","X32_lowhigh_no_1",42,"Low-High","No","must_possibly"
"347","6_L1","X32_lowhigh_no_1",91,"Low-High","No","must_possibly"
"348","7_L1","X32_lowhigh_no_1",92,"Low-High","No","must_possibly"
"349","8_L1","X32_lowhigh_no_1",72,"Low-High","No","must_possibly"
"350","9_L1","X32_lowhigh_no_1",56,"Low-High","No","must_possibly"
"351","10_L1","X32_lowhigh_no_1",76,"Low-High","No","must_possibly"
"352","11_L1","X32_lowhigh_no_1",76,"Low-High","No","must_possibly"
"353","1_L2","X1_lowhigh_no_1",44,"Low-High","No","must_probably"
"354","2_L2","X1_lowhigh_no_1",50,"Low-High","No","must_probably"
"355","3_L2","X1_lowhigh_no_1",80,"Low-High","No","must_probably"
"356","4_L2","X1_lowhigh_no_1",41,"Low-High","No","must_probably"
"357","5_L2","X1_lowhigh_no_1",75,"Low-High","No","must_probably"
"358","6_L2","X1_lowhigh_no_1",70,"Low-High","No","must_probably"
"359","7_L2","X1_lowhigh_no_1",73,"Low-High","No","must_probably"
"360","8_L2","X1_lowhigh_no_1",90,"Low-High","No","must_probably"
"361","9_L2","X1_lowhigh_no_1",70,"Low-High","No","must_probably"
"362","10_L2","X1_lowhigh_no_1",70,"Low-High","No","must_probably"
"363","11_L2","X1_lowhigh_no_1",60,"Low-High","No","must_probably"
"364","1_L2","X2_highlow_no_1",70,"High-Low","No","must_probably"
"365","2_L2","X2_highlow_no_1",57,"High-Low","No","must_probably"
"366","3_L2","X2_highlow_no_1",41,"High-Low","No","must_probably"
"367","4_L2","X2_highlow_no_1",51,"High-Low","No","must_probably"
"368","5_L2","X2_highlow_no_1",84,"High-Low","No","must_probably"
"369","6_L2","X2_highlow_no_1",91,"High-Low","No","must_probably"
"370","7_L2","X2_highlow_no_1",19,"High-Low","No","must_probably"
"371","8_L2","X2_highlow_no_1",80,"High-Low","No","must_probably"
"372","9_L2","X2_highlow_no_1",50,"High-Low","No","must_probably"
"373","10_L2","X2_highlow_no_1",63,"High-Low","No","must_probably"
"374","11_L2","X2_highlow_no_1",47,"High-Low","No","must_probably"
"375","1_L2","X3_lowonly_yes_1",56,"Low","Yes","must_probably"
"376","2_L2","X3_lowonly_yes_1",50,"Low","Yes","must_probably"
"377","3_L2","X3_lowonly_yes_1",93,"Low","Yes","must_probably"
"378","4_L2","X3_lowonly_yes_1",50,"Low","Yes","must_probably"
"379","5_L2","X3_lowonly_yes_1",87,"Low","Yes","must_probably"
